"state","county","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
ID,"Bonneville",42.5,105,1.6,40.9
ID,"Boundary",42.3,113,2.1,40.2
ID,"Butte",41.8,97,1.2,40.6
ID,"Camas",42.9,117,2.8,40.1
ID,"Canyon",53.0,111,1.7,51.3
ID,"Caribou",42.5,107,1.7,40.8
ID,"Cassia",47.3,115,2.1,45.2
ID,"Clark",40.6,106,1.6,39
ID,"Clearwater",44.5,106,1.4,43.1
ID,"Custer",39.2,113,2.1,37.1
ID,"Elmore",48.7,118,2.7,46
ID,"Franklin",45.4,116,2.4,43
ID,"Fremont",40.3,110,1.8,38.5
ID,"Gem",50.0,107,1.6,48.4
ID,"Gooding",50.8,122,3.3,47.5
ID,"Idaho",42.5,104,1.7,40.8
ID,"Jefferson",43.8,105,1.7,42.1
ID,"Jerome",50.7,120,3.2,47.5
ID,"Kootenai",46.6,117,2.1,44.5
ID,"Latah",47.1,109,1.7,45.4
ID,"Lemhi",40.2,110,2.0,38.2
ID,"Lewis",46.2,103,1.3,44.9
ID,"Lincoln",48.4,119,3.2,45.2
ID,"Madison",43.4,113,2.0,41.4
ID,"Minidoka",47.6,114,2.4,45.2
ID,"Nez Perce",49.5,108,1.6,47.9
ID,"Oneida",46.9,114,2.0,44.9
ID,"Owyhee",48.8,114,2.0,46.8
ID,"Payette",52.5,115,2.1,50.4
ID,"Power",46.4,106,1.6,44.8
ID,"Shoshone",43.5,106,1.7,41.8
ID,"Teton",40.7,113,2.1,38.6
ID,"Twin Falls",48.7,115,1.9,46.8
ID,"Valley",40.4,116,2.1,38.3
ID,"Washington",48.9,107,1.7,47.2
IL,"Adams",52.9,84,0.5,52.4
IL,"Alexander",57.8,93,1.0,56.8
IL,"Bond",54.6,87,0.7,53.9
IL,"Boone",49.0,106,1.7,47.3
IL,"Brown",52.6,80,0.5,52.1
IL,"Bureau",50.1,92,1.2,48.9
IL,"Calhoun",54.4,87,0.6,53.8
IL,"Carroll",49.5,109,2.2,47.3
IL,"Cass",52.6,79,0.3,52.3
IL,"Champaign",51.9,90,1.0,50.9
IL,"Christian",53.0,85,0.5,52.5
IL,"Clark",53.6,90,0.9,52.7
IL,"Clay",55.0,94,1.1,53.9
IL,"Clinton",55.5,93,0.9,54.6
IL,"Coles",53.0,88,0.8,52.2
IL,"Cook",50.9,109,2.0,48.9
IL,"Crawford",54.7,94,1.1,53.6
IL,"Cumberland",53.6,87,0.8,52.8
IL,"DeKalb",49.1,97,1.2,47.9
IL,"De Witt",52.2,99,1.3,50.9
IL,"Douglas",52.7,91,1.1,51.6
IL,"DuPage",50.4,107,2.0,48.4
IL,"Edgar",52.4,85,0.5,51.9
IL,"Edwards",56.2,101,1.2,55
IL,"Effingham",53.8,88,0.7,53.1
IL,"Fayette",54.0,83,0.5,53.5
IL,"Ford",51.3,95,1.2,50.1
IL,"Franklin",56.0,88,0.8,55.2
IL,"Fulton",52.0,89,0.7,51.3
IL,"Gallatin",56.3,67,0.2,56.1
IL,"Greene",53.9,78,0.4,53.5
IL,"Grundy",51.2,107,1.9,49.3
IL,"Hamilton",56.2,95,1.0,55.2
IL,"Hancock",52.2,82,0.5,51.7
IL,"Hardin",56.8,77,0.5,56.3
IL,"Henderson",51.4,91,0.7,50.7
IL,"Henry",50.2,92,1.1,49.1
IL,"Iroquois",51.4,101,1.4,50
IL,"Jackson",56.1,89,0.7,55.4
IL,"Jasper",54.3,92,0.9,53.4
IL,"Jefferson",55.8,96,1.0,54.8
IL,"Jersey",54.8,92,0.7,54.1
IL,"Jo Daviess",48.4,99,1.6,46.8
IL,"Johnson",56.8,90,0.8,56
IL,"Kane",49.4,101,1.5,47.9
IL,"Kankakee",51.2,102,1.6,49.6
IL,"Kendall",50.4,100,1.5,48.9
IL,"Knox",50.6,89,0.7,49.9
IL,"Lake",49.6,108,2.0,47.6
IL,"LaSalle",50.7,101,1.6,49.1
IL,"Lawrence",55.4,94,1.0,54.4
IL,"Lee",49.6,101,1.6,48
IL,"Livingston",51.2,103,1.5,49.7
IL,"Logan",52.7,96,1.1,51.6
IL,"McDonough",51.6,83,0.5,51.1
IL,"McHenry",49.0,106,1.9,47.1
IL,"McLean",51.7,104,1.7,50
IL,"Macon",52.6,92,0.9,51.7
IL,"Macoupin",53.8,88,0.6,53.2
IL,"Madison",55.2,88,0.6,54.6
IL,"Marion",55.1,94,0.9,54.2
IL,"Marshall",51.2,101,1.4,49.8
IL,"Mason",52.7,89,0.7,52
IL,"Massac",57.9,89,1.1,56.8
IL,"Menard",52.6,86,0.5,52.1
IL,"Mercer",50.6,92,0.8,49.8
IL,"Monroe",56.5,93,1.0,55.5
IL,"Montgomery",53.5,80,0.5,53
IL,"Morgan",52.8,81,0.4,52.4
IL,"Moultrie",52.7,88,0.7,52
IL,"Ogle",49.5,108,1.9,47.6
IL,"Peoria",51.7,98,1.3,50.4
IL,"Perry",55.7,89,0.7,55
IL,"Piatt",52.2,92,1.1,51.1
IL,"Pike",53.3,80,0.4,52.9
IL,"Pope",56.9,79,0.7,56.2
IL,"Pulaski",57.8,93,1.0,56.8
IL,"Putnam",50.9,92,1.1,49.8
IL,"Randolph",55.8,88,0.5,55.3
IL,"Richland",55.1,91,0.9,54.2
IL,"Rock Island",50.5,94,1.2,49.3
IL,"St. Clair",56.0,91,0.8,55.2
IL,"Saline",56.2,79,0.4,55.8
IL,"Sangamon",52.8,84,0.5,52.3
IL,"Schuyler",52.4,84,0.5,51.9
IL,"Scott",53.2,77,0.3,52.9
IL,"Shelby",53.0,79,0.4,52.6
IL,"Stark",50.5,92,1.1,49.4
IL,"Stephenson",48.4,104,1.6,46.8
IL,"Tazewell",52.3,100,1.5,50.8
IL,"Union",56.8,93,0.9,55.9
IL,"Vermilion",51.7,86,0.6,51.1
IL,"Wabash",56.1,96,1.1,55
IL,"Warren",50.6,87,0.5,50.1
IL,"Washington",55.7,94,0.9,54.8
IL,"Wayne",56.2,104,1.5,54.7
IL,"White",56.2,82,0.6,55.6
IL,"Whiteside",50.2,106,1.8,48.4
IL,"Will",50.8,101,1.5,49.3
IL,"Williamson",56.1,89,0.7,55.4
IL,"Winnebago",49.1,106,1.7,47.4
IL,"Woodford",51.6,107,1.8,49.8
IN,"Adams",51.5,109,1.9,49.6
IN,"Allen",50.8,102,1.5,49.3
IN,"Bartholomew",54.1,94,1.1,53
IN,"Benton",50.8,89,1.0,49.8
IN,"Blackford",52.1,107,1.7,50.4
IN,"Boone",51.6,103,1.4,50.2
IN,"Brown",53.3,95,1.1,52.2
IN,"Carroll",51.4,98,1.2,50.2
IN,"Cass",51.1,100,1.4,49.7
IN,"Clark",56.0,104,1.7,54.3
IN,"Clay",53.7,104,1.5,52.2
IN,"Clinton",51.4,99,1.2,50.2
IN,"Crawford",54.7,71,0.3,54.4
IN,"Daviess",55.2,104,1.6,53.6
IN,"Dearborn",54.5,108,1.8,52.7
IN,"Decatur",53.3,92,1.0,52.3
IN,"DeKalb",50.0,104,1.5,48.5
IN,"Delaware",52.8,115,2.3,50.5
IN,"Dubois",55.0,84,0.7,54.3
IN,"Elkhart",50.2,107,2.1,48.1
IN,"Fayette",52.6,103,1.5,51.1
IN,"Floyd",56.2,107,1.7,54.5
IN,"Fountain",51.7,87,0.8,50.9
IN,"Franklin",53.3,101,1.4,51.9
IN,"Fulton",50.7,107,1.7,49
IN,"Gibson",56.2,97,1.1,55.1
IN,"Grant",51.8,101,1.4,50.4
IN,"Greene",54.3,109,1.7,52.6
IN,"Hamilton",52.1,103,1.3,50.8
IN,"Hancock",52.6,101,1.3,51.3
IN,"Harrison",56.0,103,1.3,54.7
IN,"Hendricks",52.0,92,1.1,50.9
IN,"Henry",52.1,107,1.7,50.4
IN,"Howard",51.2,92,1.0,50.2
IN,"Huntington",51.2,100,1.4,49.8
IN,"Jackson",54.4,96,1.1,53.3
IN,"Jasper",50.6,96,1.2,49.4
IN,"Jay",51.9,111,1.9,50
IN,"Jefferson",55.3,105,1.7,53.6
IN,"Jennings",54.4,99,1.2,53.2
IN,"Johnson",53.0,95,1.1,51.9
IN,"Knox",55.5,100,1.4,54.1
IN,"Kosciusko",50.5,104,1.8,48.7
IN,"LaGrange",49.9,106,1.9,48
IN,"Lake",50.6,102,1.5,49.1
IN,"LaPorte",50.3,103,1.7,48.6
IN,"Lawrence",53.9,94,1.0,52.9
IN,"Madison",52.7,110,1.9,50.8
IN,"Marion",52.6,93,1.1,51.5
IN,"Marshall",50.4,110,2.0,48.4
IN,"Martin",54.6,102,1.3,53.3
IN,"Miami",51.2,98,1.3,49.9
IN,"Monroe",53.2,98,1.1,52.1
IN,"Montgomery",51.7,99,1.3,50.4
IN,"Morgan",52.9,93,1.0,51.9
IN,"Newton",51.0,99,1.4,49.6
IN,"Noble",50.1,105,1.7,48.4
IN,"Ohio",55.4,114,2.1,53.3
IN,"Orange",54.3,84,0.7,53.6
IN,"Owen",53.4,101,1.4,52
IN,"Parke",52.2,86,0.5,51.7
IN,"Perry",54.9,43,-0.4,55.3
IN,"Pike",55.7,100,1.3,54.4
IN,"Porter",50.4,102,1.6,48.8
IN,"Posey",56.3,72,0.2,56.1
IN,"Pulaski",50.5,101,1.4,49.1
IN,"Putnam",52.1,92,0.9,51.2
IN,"Randolph",51.9,113,2.0,49.9
IN,"Ripley",53.8,101,1.4,52.4
IN,"Rush",52.6,102,1.3,51.3
IN,"St. Joseph",50.3,110,2.0,48.3
IN,"Scott",55.2,103,1.5,53.7
IN,"Shelby",53.3,94,1.2,52.1
IN,"Spencer",55.8,67,0.1,55.7
IN,"Starke",50.5,103,1.7,48.8
IN,"Steuben",49.4,105,1.7,47.7
IN,"Sullivan",55.0,109,1.9,53.1
IN,"Switzerland",55.8,114,2.2,53.6
IN,"Tippecanoe",51.5,91,1.1,50.4
IN,"Tipton",51.6,100,1.3,50.3
IN,"Union",52.7,103,1.6,51.1
IN,"Vanderburgh",56.6,84,0.7,55.9
IN,"Vermillion",52.3,84,0.4,51.9
IN,"Vigo",53.8,96,1.3,52.5
IN,"Wabash",51.2,98,1.3,49.9
IN,"Warren",51.3,88,0.7,50.6
IN,"Warrick",56.2,88,0.9,55.3
IN,"Washington",54.6,100,1.3,53.3
IN,"Wayne",52.1,110,1.8,50.3
IN,"Wells",51.5,107,1.7,49.8
IN,"White",50.9,94,1.1,49.8
IN,"Whitley",50.4,101,1.4,49
IA,"Adair",49.5,93,1.0,48.5
IA,"Adams",50.1,95,1.0,49.1
IA,"Allamakee",46.6,95,1.3,45.3
IA,"Appanoose",50.7,79,0.4,50.3
IA,"Audubon",48.9,101,1.3,47.6
IA,"Benton",47.9,81,0.6,47.3
IA,"Black Hawk",48.1,104,1.5,46.6
IA,"Boone",49.0,99,1.3,47.7
IA,"Bremer",47.1,98,1.4,45.7
IA,"Buchanan",47.0,87,0.8,46.2
IA,"Buena Vista",47.3,103,1.3,46
IA,"Butler",47.3,97,1.3,46
IA,"Calhoun",48.1,98,1.2,46.9
IA,"Carroll",48.9,105,1.8,47.1
IA,"Cass",49.9,99,1.1,48.8
IA,"Cedar",49.1,90,0.8,48.3
IA,"Cerro Gordo",46.1,94,1.2,44.9
IA,"Cherokee",47.3,99,1.2,46.1
IA,"Chickasaw",45.7,86,0.9,44.8
IA,"Clarke",50.6,92,1.1,49.5
IA,"Clay",46.7,102,1.6,45.1
IA,"Clayton",46.9,89,0.9,46
IA,"Clinton",50.3,109,1.9,48.4
IA,"Crawford",49.2,111,2.0,47.2
IA,"Dallas",49.9,94,1.0,48.9
IA,"Davis",50.8,80,0.4,50.4
IA,"Decatur",51.1,95,1.1,50
IA,"Delaware",47.1,92,1.1,46
IA,"Des Moines",51.1,87,0.6,50.5
IA,"Dickinson",45.6,91,1.2,44.4
IA,"Dubuque",47.5,88,0.9,46.6
IA,"Emmet",45.3,81,0.8,44.5
IA,"Fayette",46.0,85,0.8,45.2
IA,"Floyd",46.2,89,1.0,45.2
IA,"Franklin",47.0,99,1.5,45.5
IA,"Fremont",51.9,94,0.9,51
IA,"Greene",48.9,98,1.2,47.7
IA,"Grundy",47.8,95,1.2,46.6
IA,"Guthrie",49.5,100,1.3,48.2
IA,"Hamilton",47.5,90,0.8,46.7
IA,"Hancock",46.0,89,0.9,45.1
IA,"Hardin",47.8,99,1.3,46.5
IA,"Harrison",50.0,98,1.3,48.7
IA,"Henry",50.1,53,-0.2,50.3
IA,"Howard",44.7,87,0.9,43.8
IA,"Humboldt",47.2,91,0.8,46.4
IA,"Ida",48.2,102,1.5,46.7
IA,"Iowa",49.3,92,1.1,48.2
IA,"Jackson",49.2,102,1.6,47.6
IA,"Jasper",49.6,93,1.0,48.6
IA,"Jefferson",49.7,49,-0.3,50
IA,"Johnson",49.1,83,0.5,48.6
IA,"Jones",48.7,100,1.4,47.3
IA,"Keokuk",49.9,91,0.9,49
IA,"Kossuth",46.1,89,0.9,45.2
IA,"Lee",51.5,74,0.1,51.4
IA,"Linn",48.1,87,0.9,47.2
IA,"Louisa",50.3,82,0.4,49.9
IA,"Lucas",50.4,87,0.6,49.8
IA,"Lyon",46.2,91,1.0,45.2
IA,"Madison",50.0,89,0.8,49.2
IA,"Mahaska",50.1,88,0.8,49.3
IA,"Marion",50.1,79,0.2,49.9
IA,"Marshall",48.6,96,1.1,47.5
IA,"Mills",51.4,95,1.1,50.3
IA,"Mitchell",45.2,88,0.9,44.3
IA,"Monona",49.3,101,1.3,48
IA,"Monroe",50.6,85,0.4,50.2
IA,"Montgomery",50.9,98,1.2,49.7
IA,"Muscatine",49.6,74,0.2,49.4
IA,"O'Brien",46.5,94,1.1,45.4
IA,"Osceola",45.4,84,0.8,44.6
IA,"Page",51.6,100,1.4,50.2
IA,"Palo Alto",46.3,90,1.0,45.3
IA,"Plymouth",47.8,100,1.3,46.5
IA,"Pocahontas",47.0,85,0.7,46.3
IA,"Polk",50.0,92,0.8,49.2
IA,"Pottawattamie",50.5,94,1.1,49.4
IA,"Poweshiek",49.3,96,1.3,48
IA,"Ringgold",50.7,95,1.2,49.5
IA,"Sac",48.4,107,1.8,46.6
IA,"Scott",50.3,98,1.4,48.9
IA,"Shelby",49.4,102,1.4,48
IA,"Sioux",46.7,86,0.8,45.9
IA,"Story",48.9,98,1.2,47.7
IA,"Tama",48.3,94,1.0,47.3
IA,"Taylor",50.9,102,1.4,49.5
IA,"Union",50.0,91,0.9,49.1
IA,"Van Buren",50.4,50,-0.5,50.9
IA,"Wapello",50.5,80,0.5,50
IA,"Warren",50.6,87,0.6,50
IA,"Washington",49.8,85,0.7,49.1
IA,"Wayne",50.5,82,0.5,50
IA,"Webster",47.7,86,0.9,46.8
IA,"Winnebago",45.2,77,0.6,44.6
IA,"Winneshiek",46.0,105,1.8,44.2
IA,"Woodbury",48.7,100,1.4,47.3
IA,"Worth",45.1,78,0.7,44.4
IA,"Wright",46.7,92,0.8,45.9
KS,"Allen",56.3,79,0.3,56
KS,"Anderson",55.6,77,0.3,55.3
KS,"Atchison",53.7,90,0.7,53
KS,"Barber",57.0,84,0.5,56.5
KS,"Barton",54.2,52,-0.2,54.4
KS,"Bourbon",56.3,72,0.2,56.1
KS,"Brown",53.1,92,0.8,52.3
KS,"Butler",56.4,92,0.7,55.7
KS,"Chase",54.8,74,0.2,54.6
KS,"Chautauqua",57.4,70,0.0,57.4
KS,"Cherokee",57.8,75,0.3,57.5
KS,"Cheyenne",52.7,111,1.9,50.8
KS,"Clark",57.1,87,0.6,56.5
KS,"Clay",54.5,93,0.9,53.6
KS,"Cloud",54.0,89,0.8,53.2
KS,"Coffey",55.7,88,0.6,55.1
KS,"Comanche",57.3,96,0.8,56.5
KS,"Cowley",57.3,83,0.4,56.9
KS,"Crawford",57.0,74,0.3,56.7
KS,"Decatur",52.8,107,1.5,51.3
KS,"Dickinson",55.3,94,1.0,54.3
KS,"Doniphan",53.4,83,0.4,53
KS,"Douglas",55.2,93,0.8,54.4
KS,"Edwards",55.2,79,0.5,54.7
KS,"Elk",56.6,74,0.1,56.5
KS,"Ellis",54.1,78,0.6,53.5
KS,"Ellsworth",55.2,93,0.7,54.5
KS,"Finney",55.1,105,1.7,53.4
KS,"Ford",55.7,94,1.0,54.7
KS,"Franklin",55.6,96,0.8,54.8
KS,"Geary",54.8,92,0.8,54
KS,"Gove",53.9,95,1.2,52.7
KS,"Graham",53.5,85,0.8,52.7
KS,"Grant",55.6,100,1.2,54.4
KS,"Gray",55.5,101,1.3,54.2
KS,"Greeley",53.3,101,1.5,51.8
KS,"Greenwood",55.9,85,0.4,55.5
KS,"Hamilton",54.9,105,1.4,53.5
KS,"Harper",57.3,74,0.2,57.1
KS,"Harvey",56.4,95,0.9,55.5
KS,"Haskell",55.5,101,1.2,54.3
KS,"Hodgeman",55.6,98,1.1,54.5
KS,"Jackson",53.7,90,0.8,52.9
KS,"Jefferson",54.4,93,0.8,53.6
KS,"Jewell",53.2,95,1.2,52
KS,"Johnson",54.9,88,0.6,54.3
KS,"Kearny",55.1,106,1.7,53.4
KS,"Kingman",56.1,63,-0.0,56.1
KS,"Kiowa",55.9,90,0.5,55.4
KS,"Labette",57.7,69,0.1,57.6
KS,"Lane",54.5,105,1.6,52.9
KS,"Leavenworth",54.8,94,0.9,53.9
KS,"Lincoln",54.6,89,0.8,53.8
KS,"Linn",55.9,83,0.4,55.5
KS,"Logan",53.9,105,1.7,52.2
KS,"Lyon",55.1,89,0.7,54.4
KS,"McPherson",55.8,93,1.1,54.7
KS,"Marion",55.4,90,0.7,54.7
KS,"Marshall",53.1,91,0.8,52.3
KS,"Meade",56.6,88,0.6,56
KS,"Miami",55.3,86,0.6,54.7
KS,"Mitchell",53.7,84,0.6,53.1
KS,"Montgomery",57.9,69,0.1,57.8
KS,"Morris",54.4,84,0.6,53.8
KS,"Morton",56.2,101,1.2,55
KS,"Nemaha",52.7,89,0.7,52
KS,"Neosho",56.9,72,0.2,56.7
KS,"Ness",54.7,87,0.7,54
KS,"Norton",52.6,89,1.0,51.6
KS,"Osage",55.7,103,1.4,54.3
KS,"Osborne",53.8,87,0.6,53.2
KS,"Ottawa",55.0,96,1.1,53.9
KS,"Pawnee",54.5,61,0.0,54.5
KS,"Phillips",53.1,86,0.9,52.2
KS,"Pottawatomie",53.8,85,0.5,53.3
KS,"Pratt",55.5,63,0.1,55.4
KS,"Rawlins",52.6,108,1.5,51.1
KS,"Reno",55.7,72,0.1,55.6
KS,"Republic",53.1,92,1.1,52
KS,"Rice",55.1,75,0.3,54.8
KS,"Riley",54.3,91,0.7,53.6
KS,"Rooks",53.7,82,0.6,53.1
KS,"Rush",54.2,66,0.2,54
KS,"Russell",54.6,89,0.7,53.9
KS,"Saline",55.7,97,1.2,54.5
KS,"Scott",54.4,109,1.8,52.6
KS,"Sedgwick",57.1,92,0.8,56.3
KS,"Seward",56.3,91,0.9,55.4
KS,"Shawnee",55.2,102,1.2,54
KS,"Sheridan",53.3,103,1.4,51.9
KS,"Sherman",52.8,114,2.3,50.5
KS,"Smith",53.0,90,0.8,52.2
KS,"Stafford",54.7,49,-0.1,54.8
KS,"Stanton",55.6,102,1.1,54.5
KS,"Stevens",56.2,100,1.1,55.1
KS,"Sumner",57.8,89,0.6,57.2
KS,"Thomas",53.0,111,1.8,51.2
KS,"Trego",53.9,80,0.7,53.2
KS,"Wabaunsee",55.0,103,1.2,53.8
KS,"Wallace",53.4,109,2.0,51.4
KS,"Washington",53.3,96,1.0,52.3
KS,"Wichita",53.9,103,1.6,52.3
KS,"Wilson",57.3,84,0.4,56.9
KS,"Woodson",56.4,88,0.5,55.9
KS,"Wyandotte",54.9,90,0.8,54.1
KY,"Adair",57.9,117,2.2,55.7
KY,"Allen",58.1,92,0.8,57.3
KY,"Anderson",56.2,104,1.6,54.6
KY,"Ballard",58.3,94,1.1,57.2
KY,"Barren",57.8,95,0.9,56.9
KY,"Bath",55.4,99,1.0,54.4
KY,"Bell",55.4,90,0.8,54.6
KY,"Boone",55.5,115,2.1,53.4
KY,"Bourbon",55.5,102,1.5,54
KY,"Boyd",56.0,112,1.9,54.1
KY,"Boyle",55.9,97,1.2,54.7
KY,"Bracken",55.2,106,1.8,53.4
KY,"Breathitt",57.1,109,1.5,55.6
KY,"Breckinridge",55.8,76,0.5,55.3
KY,"Bullitt",56.8,101,1.4,55.4
KY,"Butler",57.8,95,1.0,56.8
KY,"Caldwell",57.9,85,0.7,57.2
KY,"Calloway",58.2,76,0.3,57.9
KY,"Campbell",55.5,108,1.9,53.6
KY,"Carlisle",58.4,91,0.9,57.5
KY,"Carroll",56.4,115,2.2,54.2
KY,"Carter",55.1,103,1.6,53.5
KY,"Casey",56.6,113,1.8,54.8
KY,"Christian",58.6,101,1.3,57.3
KY,"Clark",55.8,103,1.4,54.4
KY,"Clay",57.0,113,1.7,55.3
KY,"Clinton",58.2,118,2.3,55.9
KY,"Crittenden",57.4,79,0.6,56.8
KY,"Cumberland",58.6,115,2.0,56.6
KY,"Daviess",56.6,74,0.4,56.2
KY,"Edmonson",57.9,102,1.4,56.5
KY,"Elliott",55.3,102,1.3,54
KY,"Estill",56.6,99,1.2,55.4
KY,"Fayette",55.5,101,1.4,54.1
KY,"Fleming",54.9,96,1.0,53.9
KY,"Floyd",57.2,111,1.6,55.6
KY,"Franklin",56.4,108,2.0,54.4
KY,"Fulton",58.6,77,0.4,58.2
KY,"Gallatin",56.3,114,2.3,54
KY,"Garrard",56.2,96,1.3,54.9
KY,"Grant",55.8,111,2.1,53.7
KY,"Graves",58.3,84,0.6,57.7
KY,"Grayson",56.9,98,1.2,55.7
KY,"Green",57.6,110,1.6,56
KY,"Greenup",55.4,111,2.0,53.4
KY,"Hancock",55.7,49,-0.2,55.9
KY,"Hardin",56.4,98,1.2,55.2
KY,"Harlan",54.7,101,1.1,53.6
KY,"Harrison",55.6,105,1.8,53.8
KY,"Hart",57.4,101,1.3,56.1
KY,"Henderson",56.8,74,0.3,56.5
KY,"Henry",56.1,112,2.0,54.1
KY,"Hickman",58.4,83,0.6,57.8
KY,"Hopkins",58.1,92,1.1,57
KY,"Jackson",56.2,107,1.5,54.7
KY,"Jefferson",57.0,107,1.7,55.3
KY,"Jessamine",55.9,101,1.4,54.5
KY,"Johnson",56.6,111,1.7,54.9
KY,"Kenton",55.4,115,2.0,53.4
KY,"Knott",56.5,110,1.5,55
KY,"Knox",56.8,107,1.5,55.3
KY,"Larue",56.5,97,1.2,55.3
KY,"Laurel",56.8,112,1.7,55.1
KY,"Lawrence",56.3,113,1.9,54.4
KY,"Lee",56.9,101,1.2,55.7
KY,"Leslie",56.4,108,1.5,54.9
KY,"Letcher",55.6,108,1.3,54.3
KY,"Lewis",54.8,104,1.4,53.4
KY,"Lincoln",56.1,102,1.4,54.7
KY,"Livingston",57.9,84,0.8,57.1
KY,"Logan",58.0,87,0.8,57.2
KY,"Lyon",58.1,82,0.6,57.5
KY,"McCracken",58.4,93,1.2,57.2
KY,"McCreary",57.0,115,1.8,55.2
KY,"McLean",57.5,88,0.9,56.6
KY,"Madison",56.3,97,1.2,55.1
KY,"Magoffin",56.6,111,1.6,55
KY,"Marion",56.5,101,1.2,55.3
KY,"Marshall",58.4,81,0.7,57.7
KY,"Martin",57.0,111,1.7,55.3
KY,"Mason",54.9,103,1.6,53.3
KY,"Meade",55.8,87,0.7,55.1
KY,"Menifee",55.4,92,0.9,54.5
KY,"Mercer",56.0,100,1.3,54.7
KY,"Metcalfe",57.4,100,1.3,56.1
KY,"Monroe",57.7,92,1.0,56.7
KY,"Montgomery",55.6,102,1.3,54.3
KY,"Morgan",55.8,102,1.1,54.7
KY,"Muhlenberg",57.8,89,0.8,57
KY,"Nelson",56.5,99,1.2,55.3
KY,"Nicholas",55.3,101,1.5,53.8
KY,"Ohio",57.0,87,0.8,56.2
KY,"Oldham",56.1,106,1.7,54.4
KY,"Owen",56.2,113,2.1,54.1
KY,"Owsley",57.2,109,1.5,55.7
KY,"Pendleton",55.7,108,1.9,53.8
KY,"Perry",56.8,109,1.5,55.3
KY,"Pike",57.0,110,1.5,55.5
KY,"Powell",56.2,100,1.1,55.1
KY,"Pulaski",57.2,117,1.9,55.3
KY,"Robertson",55.3,105,1.7,53.6
KY,"Rockcastle",56.3,105,1.5,54.8
KY,"Rowan",54.6,77,0.5,54.1
KY,"Russell",58.0,119,2.4,55.6
KY,"Scott",55.7,106,1.8,53.9
KY,"Shelby",56.0,107,1.8,54.2
