Overall Rank,State,Total Score,Healthcare Cost Rank,Healthcare Access Rank,Healthcare Outcomes Rank,
1,Massachusetts,63.47,20,4,1,
2,Minnesota,63.11,4,5,9,
3,Rhode Island,62.22,6,7,7,
4,District of Columbia,60.72,1,1,35,
5,North Dakota,60.70,7,3,22,
6,Vermont,59.49,29,10,5,
7,Colorado,59.06,36,13,2,
8,Iowa,58.70,11,19,15,
9,Hawaii,58.59,13,39,6,
10,South Dakota,57.81,23,16,13,
11,Connecticut,57.69,38,17,4,
12,Montana,57.59,2,26,23,
13,New Hampshire,57.41,40,23,3,
14,Maine,57.37,47,2,12,
15,Kansas,57.14,10,12,28,
16,Maryland,56.78,3,32,25,
17,Pennsylvania,56.61,14,9,29,
18,Wisconsin,56.42,44,8,11,
19,Utah,55.72,24,44,8,
20,Virginia,55.53,18,49,10,
21,Delaware,55.26,28,20,19,
22,Michigan,55.24,5,33,30,
23,New Jersey,55.04,19,27,24,
24,Ohio,54.35,8,29,34,
25,Illinois,54.27,22,21,27,
26,Nebraska,53.73,45,11,21,
27,Kentucky,52.62,9,6,44,
28,New York,52.58,27,24,32,
29,New Mexico,51.84,12,40,36,
30,Indiana,51.70,16,31,39,
31,Wyoming,51.66,46,38,18,
32,Oregon,51.32,49,28,14,
33,Idaho,50.99,41,47,16,
34,California,50.52,42,35,26,
35,Missouri,50.20,33,15,41,
36,Washington,49.93,48,41,17,
37,Florida,49.01,39,42,31,
38,Nevada,48.38,21,43,40,
39,West Virginia,48.18,31,14,46,
40,Oklahoma,47.92,25,36,43,
41,Arizona,47.40,32,50,37,
42,Alaska,46.83,51,30,20,
43,Texas,46.80,34,48,38,
44,South Carolina,46.57,43,37,42,
45,Tennessee,46.55,35,34,45,
46,Arkansas,45.61,15,22,50,
47,Mississippi,44.36,17,25,51,
48,North Carolina,44.32,50,45,33,
49,Alabama,43.84,30,46,48,
50,Louisiana,43.82,37,18,49,
51,Georgia,43.76,26,51,47,