State,Median Age,,,,,
 Maine,44.9,,,,,
 New Hampshire,43.0,,,,,
 Vermont,42.8,,,,,
 West Virginia,42.7,,,,,
 Florida,42.2,,,,,
 Puerto Rico,41.5,,,,,
 U.S. Virgin Islands,41.0,,,,,
 Connecticut,41.0,,,,,
 Pennsylvania,40.8,,,,,
 Delaware,40.7,,,,,
 Rhode Island,40.1,,,,,
 New Jersey,40.0,,,,,
 Montana,39.9,,,,,
 Michigan,39.8,,,,,
 South Carolina,39.6,,,,,
 Wisconsin,39.6,,,,,
 Massachusetts,39.4,,,,,
 Ohio,39.4,,,,,
 Oregon,39.4,,,,,
 Alabama,39.2,,,,,
 Hawaii,39.2,,,,,
 New York,39.0,,,,,
 Kentucky,38.9,,,,,
 North Carolina,38.9,,,,,
 Maryland,38.8,,,,,
 Tennessee,38.8,,,,,
 Missouri,38.7,,,,,
 Virginia,38.4,,,,,
 Arkansas,38.3,,,,,
 Illinois,38.3,,,,,
 Iowa,38.2,,,,,
 United States,38.2,,,,,
 Minnesota,38.1,,,,,
 Nevada,38.1,,,,,
 New Mexico,38.1,,,,,
 Wyoming,38.0,,,,,
 Arizona,37.9,,,,,
 Indiana,37.9,,,,,
 Mississippi,37.7,,,,,
 Washington,37.7,,,,,
 Louisiana,37.2,,,,,
 South Dakota,37.1,,,,,
 Colorado,36.9,,,,,
 Georgia,36.9,,,,,
 Kansas,36.9,,,,,
 California,36.8,,,,,
 Oklahoma,36.7,,,,,
 Idaho,36.6,,,,,
 Nebraska,36.6,,,,,
 North Dakota,35.2,,,,,
 Texas,34.8,,,,,
 Alaska,34.6,,,,,
 District of Columbia,34.0,,,,,
 Northern Mariana Islands,33.6,,,,,
 Utah,31.0,,,,,
 Guam,29.0,,,,,
 American Samoa,25.5,,,,,